id,pagina_carta,categoria_carta,bodega,nombre_completo_visible,precio_texto_original,precio,moneda,estado_lectura,notas_validacion
VIN-032,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Altocedro Año Cero Rose,$38.000,38000,ARS,OK,
VIN-033,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Alandes Paradoux Blend Tinto,$45.000,45000,ARS,OK,
VIN-034,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Altocedro Año Cero Barrel Collection Pinot Noir,$49.000,49000,ARS,OK,
VIN-035,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Alandes Paradoux Blend Blanco,$50.000,50000,ARS,OK,
VIN-036,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Altocedro Reserva Malbec,$60.000,60000,ARS,OK,
VIN-037,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Alandes Gran Cabernet Franc,$70.000,70000,ARS,OK,
VIN-038,2,Altocedro/Alandes/Abras,Altocedro/Alandes/Abras,Altocedro Finca Los Turcos Malbec,$94.000,94000,ARS,OK,
VIN-039,2,Altos las Hormigas,Altos las Hormigas,Altos Las Hormigas Colonia Las Liebres Bonarda,$8.900,8900,ARS,OK,
VIN-040,2,Altos las Hormigas,Altos las Hormigas,Altos Las Hormigas Jardin Meteora Malbec,$44.200,44200,ARS,OK,
VIN-041,2,Altos las Hormigas,Altos las Hormigas,Alto Las Hormigas Appellation Malbec Gualtallary,$56.200,56200,ARS,OK,
VIN-042,2,Antigal,Antigal,Antigal Uno Sauvignon Blanc,$9.900,9900,ARS,OK,
VIN-043,2,Antigal,Antigal,Antigal Uno Platinum Edition Malbec,$17.000,17000,ARS,OK,
VIN-044,2,Antigal,Antigal,Antigal Aduentus Malbec,$17.000,17000,ARS,OK,
VIN-045,2,Antigal,Antigal,Antigal Aduentus Cabernet Franc,$17.000,17000,ARS,OK,
VIN-046,2,Bemberg wine estate,Bemberg wine estate,La Linterna Malbec Gualtallary,$98.900,98900,ARS,OK,
VIN-047,2,Bemberg wine estate,Bemberg wine estate,La Linterna Cabernet Sauvignon Cafayate,$98.900,98900,ARS,OK,
VIN-048,2,Bemberg wine estate,Bemberg wine estate,La Linterna Chardonnay Gualtallary,$98.900,98900,ARS,OK,
VIN-049,2,Bemberg wine estate,Bemberg wine estate,La Linterna Pinot Noir Los Arboles,$98.900,98900,ARS,OK,
VIN-050,2,Bemberg wine estate,Bemberg wine estate,La Linterna Pionero Gualtallary State Blend,$146.200,146200,ARS,OK,
VIN-051,2,Berlina,Berlina,Malbec Concreto,$8.600,8600,ARS,OK,
VIN-052,2,Berlina,Berlina,Petit Verdot - Tannat,$8.600,8600,ARS,OK,
VIN-053,2,Berlina,Berlina,[PRECIO SUELTO SIN NOMBRE VISIBLE],$22.200,22200,ARS,DUDOSO,Precio $22.200 aparece solo sin nombre asociado entre Berlina y Bira wines. Posible error de maquetación o producto faltante.
VIN-054,2,Bira wines,Bira wines,Bira Rosso D'Uco,$20.900,20900,ARS,OK,
VIN-055,2,Bira wines,Bira wines,Bira Tano,$59.300,59300,ARS,OK,
VIN-056,2,Bira wines,Bira wines,Bira Bin Otto,$81.200,81200,ARS,OK,
VIN-057,2,Bira wines,Bira wines,Bira Mero Primo,$129.300,129300,ARS,OK,
VIN-058,2,Bizzoto wines,Bizzoto wines,Bizzotto rosé de malbec y cabernet franc,$8.600,8600,ARS,OK,
VIN-059,2,Bizzoto wines,Bizzoto wines,Bizzotto reserva malbec,$13.400,13400,ARS,OK,
VIN-060,2,Bizzoto wines,Bizzoto wines,Bizzotto Semillón,$14.700,14700,ARS,OK,
VIN-061,2,Bizzoto wines,Bizzoto wines,Bizzotto Reserva blend,$14.700,14700,ARS,OK,
VIN-062,2,BoBÓ,BoBÓ,BOBO Corte Tinto,$25.000,25000,ARS,OK,
VIN-063,2,BoBÓ,BoBÓ,BOBO La Pérgola Merlot,$75.000,75000,ARS,OK,
VIN-064,2,BoBÓ,BoBÓ,BOBO Arcilla Malbec,$75.000,75000,ARS,OK,
VIN-065,2,BoBÓ,BoBÓ,BOBO Manto Chardonnay,$75.000,75000,ARS,OK,
VIN-066,2,Bodega Argento,Bodega Argento,Argento SV Orgánico Agrelo Cabernet Franc,$24.400,24400,ARS,OK,
VIN-067,2,Bodega Argento,Bodega Argento,Argento SV Orgánico Agrelo Malbec,$24.400,24400,ARS,OK,
VIN-068,2,Bodega Argento,Bodega Argento,Argento S Block Orgánico Malbec,$40.400,40400,ARS,OK,
VIN-069,2,Bressia,Bressia,Profundo,$34.900,34900,ARS,OK,
VIN-070,2,Bressia,Bressia,Lágrima Canela,$34.900,34900,ARS,OK,
VIN-071,2,Bressia,Bressia,Piel Negra Pinot Noir,$46.900,46900,ARS,OK,
VIN-072,2,Bressia,Bressia,Conjuro,$81.900,81900,ARS,OK,
VIN-073,2,Bressia,Bressia,Del Alma Petit Verdot,$189.900,189900,ARS,OK,
VIN-074,2,Bressia,Bressia,Última Hoja,$264.900,264900,ARS,OK,
VIN-075,2,Cadus,Cadus,Cadus SV Viña Vida Malbec,$56.400,56400,ARS,OK,
VIN-076,2,Carmelo Patti,Carmelo Patti,Malbec,$24.200,24200,ARS,OK,
VIN-077,2,Carmelo Patti,Carmelo Patti,Cabernet Sauvignon,$24.200,24200,ARS,OK,
VIN-078,2,Carmelo Patti,Carmelo Patti,Blend Assamblage,$60.400,60400,ARS,OK,
VIN-079,2,CARO,CARO,Aruma Malbec,$24.000,24000,ARS,OK,
VIN-080,2,CARO,CARO,Petit Caro,$40.100,40100,ARS,OK,
VIN-081,2,CARO,CARO,Caro Blend,$182.000,182000,ARS,OK,
VIN-082,3,Casarena,Casarena,Naoki,$30.900,30900,ARS,OK,
VIN-083,3,Casarena,Casarena,DNA Cabernet Sauvignon,$45.900,45900,ARS,OK,
VIN-084,3,Casarena,Casarena,DNA Malbec,$45.900,45900,ARS,OK,
VIN-085,3,Casarena,Casarena,DNA Icono,$48.900,48900,ARS,OK,
VIN-086,3,Casir Dos Santos,Casir Dos Santos,Casir dos Santos Reserva Cavernet Sauvignon,$13.100,13100,ARS,OK,Cavernet escrito así en carta (typo por Cabernet)
VIN-087,3,Casir Dos Santos,Casir Dos Santos,Casir dos Santos Reserva Petit Verdot,$13.100,13100,ARS,OK,Cavernet escrito así en carta (typo por Cabernet)
VIN-088,3,Casir Dos Santos,Casir Dos Santos,Casir dos Santos Gran Corte,$34.800,34800,ARS,OK,Cavernet escrito así en carta (typo por Cabernet)
VIN-089,3,Catena Zapata,Catena Zapata,Nicasia Blanc de Blancs,$9.500,9500,ARS,OK,
VIN-090,3,Catena Zapata,Catena Zapata,Nicasia Red Blend Malbec,$9.500,9500,ARS,OK,
VIN-091,3,Catena Zapata,Catena Zapata,Nicasia Red Blend Cab Franc,$9.500,9500,ARS,OK,
VIN-092,3,Catena Zapata,Catena Zapata,Saint Felicien Cabernet Sauvignon,$11.300,11300,ARS,OK,
VIN-093,3,Catena Zapata,Catena Zapata,Saint Felicien Malbec,$11.300,11300,ARS,OK,
VIN-094,3,Catena Zapata,Catena Zapata,Saint Felicien Cabernet Franc,$11.300,11300,ARS,OK,
VIN-095,3,Catena Zapata,Catena Zapata,Saint Felicien Pinot Noir,$11.300,11300,ARS,OK,
VIN-096,3,Catena Zapata,Catena Zapata,Saint Felicien Chardonnay,$11.300,11300,ARS,OK,
VIN-097,3,Catena Zapata,Catena Zapata,Saint Felicien Sauvignon Blanc,$11.300,11300,ARS,OK,
VIN-098,3,Catena Zapata,Catena Zapata,DV Cabernet-Malbec,$13.400,13400,ARS,OK,
VIN-099,3,Catena Zapata,Catena Zapata,DV Cabernet-Syrah,$13.400,13400,ARS,OK,
VIN-100,3,Catena Zapata,Catena Zapata,DV Syrah-Syrah,$15.400,15400,ARS,OK,
VIN-101,3,Catena Zapata,Catena Zapata,DV Pinot-Pinot,$17.600,17600,ARS,OK,
VIN-102,3,Catena Zapata,Catena Zapata,DV Chardonnay-Chardonnay,$20.400,20400,ARS,OK,
VIN-103,3,Catena Zapata,Catena Zapata,DV Catena Nature,$23.300,23300,ARS,OK,
VIN-104,3,Catena Zapata,Catena Zapata,DV Malbec-Malbec,$23.760,23760,ARS,OK,
VIN-105,3,Catena Zapata,Catena Zapata,DV Cabernet-Cabernet,$23.760,23760,ARS,OK,
VIN-106,3,Catena Zapata,Catena Zapata,Angélica Merlot,$31.500,31500,ARS,OK,
VIN-107,3,Catena Zapata,Catena Zapata,Angélica Cabernet Sauvignon,$31.500,31500,ARS,OK,
VIN-108,3,Catena Zapata,Catena Zapata,Angélica Cabernet Franc,$31.500,31500,ARS,OK,
VIN-109,3,Catena Zapata,Catena Zapata,Angélica Chardonnay,$31.500,31500,ARS,OK,
VIN-110,3,Catena Zapata,Catena Zapata,Angélica Malbec,$38.800,38800,ARS,OK,
VIN-111,3,Catena Zapata,Catena Zapata,DV Catena L'Esploratore Malbec Salta,$20.000,20000,ARS,OK,
VIN-112,3,Catena Zapata,Catena Zapata,DV Catena L'Esploratore Malbec La Rioja,$20.000,20000,ARS,OK,
VIN-113,3,Catena Zapata,Catena Zapata,DV Garnacha Lunlunta,$24.400,24400,ARS,OK,
VIN-114,3,Catena Zapata,Catena Zapata,DV Catena Nicasia Malbec,$31.750,31750,ARS,OK,
VIN-115,3,Catena Zapata,Catena Zapata,DV Catena La Pirámide Cabernet Sauvignon,$31.750,31750,ARS,OK,
VIN-116,3,Catena Zapata,Catena Zapata,DV Catena Domingo Cabernet Sauvignon,$31.750,31750,ARS,OK,
VIN-117,3,Catena Zapata,Catena Zapata,DV Catena Adrianna Malbec,$34.800,34800,ARS,OK,
VIN-118,3,Catena Zapata,Catena Zapata,Grapa DV,$35.600,35600,ARS,OK,
VIN-119,3,Catena Zapata,Catena Zapata,Pera Grau Jerez,$35.450,35450,ARS,OK,
VIN-120,3,Catena Zapata,Catena Zapata,Vermouth Vincenzo Rosso,$32.400,32400,ARS,OK,
VIN-121,3,Catena Zapata,Catena Zapata,Nicola Catena Bonarda,$57.600,57600,ARS,OK,
VIN-122,3,Catena Zapata,Catena Zapata,Nicolas Catena,$84.800,84800,ARS,OK,
VIN-123,3,Catena Zapata,Catena Zapata,Malbec Argentino,$84.800,84800,ARS,OK,
VIN-124,3,Catena Zapata,Catena Zapata,Saint Felicien Semillón Doux,$19.500,19500,ARS,OK,
VIN-125,3,Catena Zapata,Catena Zapata,Saint Felicien Nature,$15.450,15450,ARS,OK,
VIN-126,3,Catena Zapata,Catena Zapata,Saint Felicien Bonarda,$21.900,21900,ARS,OK,
VIN-127,3,Catena Zapata,Catena Zapata,Saint Felicien Rosé,$32.000,32000,ARS,OK,
VIN-128,3,Catena Zapata,Catena Zapata,Estiba Reservada 2017,$340.000,340000,ARS,OK,
VIN-129,3,Chandon,Chandon,Cuveé Blanc de Blanc,$21.200,21200,ARS,OK,
VIN-130,3,Chandon,Chandon,Cuveé Blanc de Noir,$21.200,21200,ARS,OK,
VIN-131,3,Chandon,Chandon,Baron B Extra Brut,$34.300,34300,ARS,OK,
VIN-132,3,Chandon,Chandon,Baron B Brut Nature,$46.000,46000,ARS,OK,
VIN-133,3,Chandon,Chandon,Baron B Brut Rose,$46.000,46000,ARS,OK,
VIN-134,3,Chandon,Chandon,Cheval des andes,$233.500,233500,ARS,OK,
VIN-135,3,Chañarmuyo,Chañarmuyo,Clásico Malbec,$10.900,10900,ARS,OK,
VIN-136,3,Chañarmuyo,Chañarmuyo,Clásico Syrah-Viognier Rosé,$10.900,10900,ARS,OK,
VIN-137,3,Chañarmuyo,Chañarmuyo,Gran Vino Tannat,$15.500,15500,ARS,OK,
VIN-138,3,Chañarmuyo,Chañarmuyo,Gran Vino Cabernet Franc,$15.500,15500,ARS,OK,
VIN-139,3,Chañarmuyo,Chañarmuyo,Gran Vino Cabernet Sauvignon,$15.500,15500,ARS,OK,
VIN-140,3,Chañarmuyo,Chañarmuyo,Gran Vino Malbec,$15.500,15500,ARS,OK,
VIN-141,3,Chañarmuyo,Chañarmuyo,Viña Providencia Malbec,$21.900,21900,ARS,OK,
VIN-142,3,Chañarmuyo,Chañarmuyo,Cinco hileras,$33.900,33900,ARS,OK,
VIN-143,3,Colome,Colome,Lote Especial Altura Máxima Pinot Noir,$89.400,89400,ARS,OK,
VIN-144,3,Colome,Colome,Altura Máxima Malbec,$198.700,198700,ARS,OK,
VIN-145,3,Colome,Colome,Conscientemente,,,ARS,DUDOSO,"Encabezado 'Conscientemente' sin precio visible, posible título de línea"
VIN-146,3,Colome,Colome,Conscientemente Cabernet Franc,$12.100,12100,ARS,OK,
VIN-147,3,Colome,Colome,Conscientemente Malbec,$18.700,18700,ARS,OK,
VIN-148,3,Cruzat,Cruzat,Cuveé Extra Brut,$25.100,25100,ARS,OK,
VIN-149,3,Cruzat,Cruzat,Cuveé Nature,$25.100,25100,ARS,OK,
VIN-150,3,Cruzat,Cruzat,Cuveé Extra Brut Rosé,$25.100,25100,ARS,OK,
VIN-151,3,Cruzat,Cruzat,SV Orgánico Nature,$33.000,33000,ARS,OK,
VIN-152,3,Cruzat,Cruzat,Millesime,$65.900,65900,ARS,OK,
VIN-153,3,De Angeles,De Angeles,De Angeles Malbec,$18.900,18900,ARS,OK,
VIN-154,3,De Angeles,De Angeles,De Angeles Malbec Sin Roble,$32.800,32800,ARS,OK,
VIN-155,3,De Angeles,De Angeles,De Angeles Gran Malbec,$54.700,54700,ARS,OK,
VIN-156,3,De Angeles,De Angeles,De Angeles Gran Cabernet Sauvignon,$65.600,65600,ARS,OK,
VIN-157,3,De Angeles,De Angeles,De Angeles Gran Corte,$93.700,93700,ARS,OK,
VIN-158,3,Decero,Decero,Mini Ediciones Petit Verdot,$32.400,32400,ARS,OK,
VIN-159,3,Decero,Decero,Mini Ediciones Tannat,$32.400,32400,ARS,OK,
VIN-160,3,Decero,Decero,Mini Ediciones Cabernet Franc,$32.400,32400,ARS,OK,
VIN-161,3,Decero,Decero,The Owl and the Dust Devil Icono,$32.400,32400,ARS,OK,
VIN-162,3,Decero,Decero,Amano Blend,$75.000,75000,ARS,OK,
VIN-163,3,Desenlace,Desenlace,Blend edición limitada,$16.000,16000,ARS,OK,
VIN-164,3,Desenlace,Desenlace,Superlativo Garnacha,$20.600,20600,ARS,OK,
VIN-165,3,Desenlace,Desenlace,Superlativo Monastrell,$20.600,20600,ARS,OK,
VIN-166,3,COS DE CAL,COS DE CAL,Cos de Cal Cofermentado (Corte de Viña),$55.000,55000,ARS,OK,
VIN-167,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Rosé,$13.300,13300,ARS,OK,
VIN-168,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Charmat Brut Rosé,$19.400,19400,ARS,OK,
VIN-169,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Rva Dulce Malbec,$20.600,20600,ARS,OK,
VIN-170,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Rva Pinot Noir,$20.600,20600,ARS,OK,
VIN-171,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Alavida Kosher Malbec,$20.600,20600,ARS,OK,
VIN-172,4,Domaine Bousquet,Domaine Bousquet,Gaia Cabernet Franc,$27.900,27900,ARS,OK,
VIN-173,4,Domaine Bousquet,Domaine Bousquet,Domaine Bousquet Ameri Blend,$72.900,72900,ARS,OK,
VIN-174,4,Domaine Nico,Domaine Nico,Domaine Nico Grand Pere Pinot Noir,$37.000,37000,ARS,OK,
VIN-175,4,Domaine Nico,Domaine Nico,Domaine Nico Grand Mere Pinot Noir,$37.600,37600,ARS,OK,
VIN-176,4,Domaine Nico,Domaine Nico,Domaine Nico Brut Rose Pinot Noir,$37.600,37600,ARS,OK,
VIN-177,4,Domaine Nico,Domaine Nico,Domaine Nico Histoire D'A Pinot Noir,$65.300,65300,ARS,OK,
VIN-178,4,Domaine Nico,Domaine Nico,Domaine Nico La Savante Pinot Noir,$65.300,65300,ARS,OK,
VIN-179,4,Domaine Nico,Domaine Nico,Domaine Nico Le Paradis Pinot Noir,$269.900,269900,ARS,OK,
VIN-180,4,Doña Paula,Doña Paula,Doña Paula Estate Blue Edition,$9.800,9800,ARS,OK,
VIN-181,4,Doña Paula,Doña Paula,Doña Paula Estate Riesling,$9.800,9800,ARS,OK,
VIN-182,4,Doña Paula,Doña Paula,Doña Paula SV El Alto Malbec,$14.900,14900,ARS,OK,
VIN-183,4,Doña Paula,Doña Paula,Doña Paula Altaluvia Cabernet Franc,$31.100,31100,ARS,OK,
VIN-184,4,Doña Paula,Doña Paula,Doña Paula Selección de Bodega Malbec,$56.000,56000,ARS,OK,
VIN-185,4,Doña Paula,Doña Paula,Doña Paula Malbec Alluvia Parcel,$74.500,74500,ARS,OK,
VIN-186,4,Durigutti,Durigutti,Durigutti Rva Malbec,$22.400,22400,ARS,OK,
VIN-187,4,Durigutti,Durigutti,Durigutti Rva Cabernet Franc,$22.400,22400,ARS,OK,
VIN-188,4,Durigutti,Durigutti,Las Compuertas Cabernet Franc,$40.600,40600,ARS,OK,
VIN-189,4,EL ESTECO,EL ESTECO,El Esteco Old Vines Torrontés,$30.000,30000,ARS,OK,
VIN-190,4,EL ESTECO,EL ESTECO,El Esteco Old Vines Criolla,$30.000,30000,ARS,OK,
VIN-191,4,EL ESTECO,EL ESTECO,El Esteco Fincas Notables Malbec,$38.800,38800,ARS,OK,
VIN-192,4,EL ESTECO,EL ESTECO,El Esteco Fincas Notables Tannat,$38.800,38800,ARS,OK,
VIN-193,4,EL ESTECO,EL ESTECO,El Esteco Fincas Notables Cabernet Franc,$38.800,38800,ARS,OK,
VIN-194,4,EL ESTECO,EL ESTECO,El Esteco Fincas Notables Sauvignon,$38.800,38800,ARS,OK,
VIN-195,4,EL ESTECO,EL ESTECO,El Esteco Fincas Notables Merlot,$38.800,38800,ARS,OK,
VIN-196,4,EL ESTECO,EL ESTECO,El Esteco Chañar Punco,$70.500,70500,ARS,OK,
VIN-197,4,EL ESTECO,EL ESTECO,El Esteco Altimus,$80.600,80600,ARS,OK,
VIN-198,4,El Porvenir,El Porvenir,Laborum SV Oak Fermented Torrontes,$31.200,31200,ARS,OK,
VIN-199,4,El Porvenir,El Porvenir,Laborum Parcela Tannat,$51.300,51300,ARS,OK,
VIN-200,4,El Porvenir,El Porvenir,Laborum Parcela Torrontes,$51.300,51300,ARS,OK,
VIN-201,4,El Porvenir,El Porvenir,El Porvenir Icon,$99.600,99600,ARS,OK,
VIN-202,4,El Psicoanalista,El Psicoanalista,Malbec,$12.300,12300,ARS,OK,
VIN-203,4,El Psicoanalista,El Psicoanalista,Cabernet Franc,$12.300,12300,ARS,OK,
VIN-204,4,El Psicoanalista,El Psicoanalista,Petit Verdot,$12.300,12300,ARS,OK,
VIN-205,4,Enemigo Wines,Enemigo Wines,Enemigo Chardonnay,$25.600,25600,ARS,OK,
VIN-206,4,Enemigo Wines,Enemigo Wines,Enemigo Semillón,$25.600,25600,ARS,OK,
VIN-207,4,Enemigo Wines,Enemigo Wines,Enemigo Syrah-Viognier,$25.600,25600,ARS,OK,
VIN-208,4,Enemigo Wines,Enemigo Wines,Enemigo Bonarda,$25.600,25600,ARS,OK,
VIN-209,4,Enemigo Wines,Enemigo Wines,Enemigo Malbec,$25.600,25600,ARS,OK,
VIN-210,4,Enemigo Wines,Enemigo Wines,Enemigo Cabernet Franc,$25.600,25600,ARS,OK,
VIN-211,4,Enemigo Wines,Enemigo Wines,Enemigo Chenin,$25.600,25600,ARS,OK,
VIN-212,4,Enemigo Wines,Enemigo Wines,Enemigo SV Bonarda El Mirador,$25.600,25600,ARS,OK,
VIN-213,4,Enemigo Wines,Enemigo Wines,Enemigo SV Bonarda Los Paraisos,$25.600,25600,ARS,OK,
VIN-214,4,Enemigo Wines,Enemigo Wines,Enemigo SV Bonarda El Barranco,$25.600,25600,ARS,OK,
VIN-215,4,Enemigo Wines,Enemigo Wines,Enemigo SV Bonarda La Esperanza,$25.600,25600,ARS,OK,
VIN-216,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Torrontés,$54.650,54650,ARS,OK,
VIN-217,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Blend,$54.650,54650,ARS,OK,
VIN-218,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Agrelo,$54.650,54650,ARS,OK,
VIN-219,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Chacayes,$54.650,54650,ARS,OK,
VIN-220,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Cepillo,$54.650,54650,ARS,OK,
VIN-221,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Gualtallary 2020,$60.200,60200,ARS,OK,
VIN-222,4,Enemigo Wines,Enemigo Wines,Gran Enemigo Gualtallary 2019,$85.000,85000,ARS,OK,
VIN-223,4,Enemigo Wines,Enemigo Wines,Amiguito Moscatel,$25.600,25600,ARS,OK,
VIN-224,4,Enemigo Wines,Enemigo Wines,Amiguito Criolla,$25.600,25600,ARS,OK,
VIN-225,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Sangiovese,$10.300,10300,ARS,OK,
VIN-226,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Gran Reserva Malbec,$15.700,15700,ARS,OK,
VIN-227,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Pequeñas Producciones Syrah,$28.100,28100,ARS,OK,
VIN-228,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Pequeñas Producciones Cabernet Sauvignon,$28.100,28100,ARS,OK,
VIN-229,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Pequeñas Producciones Malbec,$28.100,28100,ARS,OK,
VIN-230,4,Escorihuela Gascon,Escorihuela Gascon,Escorihuela Gascón Pequeñas Producciones Chardonnay,$28.100,28100,ARS,OK,
VIN-231,4,Escorihuela Gascon,Escorihuela Gascon,The President Blend,$38.000,38000,ARS,OK,
VIN-232,4,Escorihuela Gascon,Escorihuela Gascon,Miguel Escorihuela Gascon,$44.000,44000,ARS,OK,
VIN-233,4,Escorihuela Gascon,Escorihuela Gascon,Don Malbec,$69.000,69000,ARS,OK,
VIN-234,4,Estela Perinetti Wines,Estela Perinetti Wines,Estelas Malbec - Cabernet Franc,$20.000,20000,ARS,OK,"Precio con salto de línea en imagen, unificado"
VIN-235,4,Estela Perinetti Wines,Estela Perinetti Wines,Estelas Pinot Noir,$42.000,42000,ARS,OK,"Precio con salto de línea en imagen, unificado"
VIN-236,4,Estela Perinetti Wines,Estela Perinetti Wines,Estela Perinetti Gran Vin,$50.000,50000,ARS,OK,"Precio con salto de línea en imagen, unificado"
VIN-237,4,Familia Falasco,Familia Falasco,Hermandad Chardonnay,$20.450,20450,ARS,OK,
VIN-238,4,Familia Falasco,Familia Falasco,Hermandad Malbec,$20.450,20450,ARS,OK,
VIN-239,4,Familia Falasco,Familia Falasco,Hermandad Blend,$20.450,20450,ARS,OK,
VIN-240,4,Familia Falasco,Familia Falasco,Bressano Corte de Malbec,$39.300,39300,ARS,OK,
VIN-241,4,Familia Falasco,Familia Falasco,Bressano Corte de Chardonnay,$39.300,39300,ARS,OK,
VIN-242,5,Famiglia Bianchi,Famiglia Bianchi,Famiglia Bianchi Extra Brut Champenoise,$11.500,11500,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-243,5,Famiglia Bianchi,Famiglia Bianchi,Stradivarius Elisir,$17.900,17900,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-244,5,Famiglia Bianchi,Famiglia Bianchi,Estrella Champenoise,$19.900,19900,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-245,5,Famiglia Bianchi,Famiglia Bianchi,Particular Cabernet Franc,$29.200,29200,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-246,5,Famiglia Bianchi,Famiglia Bianchi,Particular Merlot,$35.000,35000,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-247,5,Famiglia Bianchi,Famiglia Bianchi,Stradiviarius Oporto,$35.300,35300,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
VIN-248,5,Famiglia Bianchi,Famiglia Bianchi,Stradiviarius Extra Brut Cabernet Sauvignon,$39.800,39800,ARS,OK,Precio con salto de línea (ej $11.50 + 0) unificado
